Timestamp,Current1 (mA),Current2 (mA),Current3 (mA),Current4 (mA),Resistance1 (kohm),Resistance2 (kohm),Resistance3 (kohm),Resistance4 (kohm),del_R1 (kohm),del_R2 (kohm),del_R3 (kohm),del_R4 (kohm)
2026-06-01 17:45:27,0.1951,0.4024,-0.0976,-0.0976,25.625,12.424242,,,0.0,0.0,0,0
2026-06-01 17:45:28,0.1951,0.4024,-0.0976,-0.0976,25.625,12.424242,,,9.225,2.424242,0,0
2026-06-01 17:45:29,0.1951,0.4024,-0.0976,0.0,25.625,12.424242,,,0.0,0.0,0,0
2026-06-01 17:45:30,0.1951,0.4024,-0.0976,-0.0976,25.625,12.424242,,,9.225,0.0,0,0
2026-06-01 17:45:31,0.1951,0.5,0.0,0.0,25.625,10.0,,,9.225,2.424242,0,0
2026-06-01 17:45:32,0.1951,0.3049,-0.0976,-0.0976,25.625,16.4,,,0.0,3.975758,0,0
2026-06-01 17:45:33,0.3049,0.5,-0.0976,-0.0976,16.4,10.0,,,0.0,2.424242,0,0
2026-06-01 17:45:34,0.1951,0.4024,-0.0976,0.0,25.625,12.424242,,,0.0,0.0,0,0
2026-06-01 17:45:35,0.1951,0.4024,-0.0976,-0.0976,25.625,12.424242,,,0.0,0.0,0,0
2026-06-01 17:45:36,0.3049,0.5,0.0,-0.0976,16.4,10.0,,,9.225,2.424242,0,0
2026-06-01 17:45:54,0.1951,0.4024,-0.0976,-0.0976,25.625,12.424242,,,9.225,0.0,0,0
2026-06-01 17:45:55,0.1951,0.4024,0.0,-0.0976,25.625,12.424242,,,0.0,0.0,0,0
2026-06-01 17:45:56,0.1951,0.5,0.0,0.0,25.625,10.0,,,0.0,2.424242,0,0
2026-06-01 17:45:57,0.1951,0.4024,-0.0976,-0.0976,25.625,12.424242,,,0.0,0.0,0,0
2026-06-01 17:45:58,0.1951,0.4024,-0.0976,-0.0976,25.625,12.424242,,,9.225,2.424242,0,0
2026-06-01 17:45:59,0.3049,0.5,-0.0976,-0.0976,16.4,10.0,,,9.225,2.424242,0,0
2026-06-01 17:46:06,0.3049,0.4024,-0.0976,-0.0976,16.4,12.424242,,,9.225,0.0,0,0
2026-06-01 17:46:07,0.1951,0.4024,-0.0976,0.0976,25.625,12.424242,,51.25,0.0,0.0,0,51.25
2026-06-01 17:46:08,0.1951,0.4024,-0.0976,0.0,25.625,12.424242,,,0.0,0.0,0,0
2026-06-01 17:46:09,0.3049,0.4024,-0.0976,-0.0976,16.4,12.424242,,,9.225,0.0,0,0
2026-06-01 17:46:10,0.1951,0.4024,0.0,-0.0976,25.625,12.424242,,,0.0,0.0,0,0
2026-06-01 17:46:11,0.3049,4.9024,3.8049,-0.1951,16.4,1.0199,1.314103,,9.225,0.11081,0.249167,0
2026-06-01 17:46:12,0.1951,5.5,4.9024,0.0,25.625,0.909091,1.0199,,0.0,0.340909,0.0199,0
2026-06-01 17:46:13,0.3049,4.4024,3.3049,-0.0976,16.4,1.135734,1.512915,,0.0,0.226643,0.472306,0
2026-06-01 17:46:14,0.1951,5.3049,4.8049,0.0,25.625,0.942529,1.040609,,0.0,0.033438,0.024326,0
2026-06-01 17:46:15,0.1951,5.1951,4.8049,-0.0976,25.625,0.962441,1.040609,,9.225,0.14867,0.312526,0
2026-06-01 17:46:16,0.1951,3.9024,3.8049,-0.0976,25.625,1.28125,1.314103,,0.0,0.300389,0.202991,0
2026-06-01 17:46:17,0.1951,5.3049,4.5976,0.0,25.625,0.942529,1.087533,,0.0,0.038333,0.048201,0
2026-06-01 17:46:18,0.3049,5.5,4.6951,0.0,16.4,0.909091,1.064935,,0.0,0.07177,0.155303,0
2026-06-01 17:46:19,0.1951,5.0,4.4024,-0.0976,25.625,1.0,1.135734,,0.0,0.28125,0.530933,0
2026-06-01 17:46:20,0.1951,3.9024,3.5,-0.0976,25.625,1.28125,1.428571,,0.0,0.300389,0.292837,0
2026-06-01 17:46:21,0.1951,5.0,4.3049,0.0,25.625,1.0,1.161473,,9.225,0.0,0.120864,0
2026-06-01 17:46:22,0.1951,4.0976,3.5,0.0,25.625,1.220238,1.428571,,0.0,0.169592,0.426632,0
2026-06-01 17:46:23,0.1951,3.5,2.5976,-0.0976,25.625,1.428571,1.924883,,0.0,0.31746,0.643633,0
2026-06-01 17:46:24,0.1951,4.0,3.4024,0.0,25.625,1.25,1.469534,,0.0,0.0,0.0,0
2026-06-01 17:46:25,0.1951,2.8049,2.3049,-0.0976,25.625,1.782609,2.169312,,0.0,0.429473,0.24443,0
2026-06-01 17:46:26,0.1951,4.1951,3.5,0.0,25.625,1.19186,1.428571,,0.0,0.08939,0.136314,0
2026-06-01 17:46:27,0.1951,2.9024,3.3049,-0.0976,25.625,1.722689,1.512915,,0.0,0.253155,0.411967,0
2026-06-01 17:46:28,0.4024,4.0976,3.5,0.0,12.424242,1.220238,1.428571,,3.975758,0.093864,0.040963,0
2026-06-01 17:46:29,0.1951,4.3049,3.5,-0.0976,25.625,1.161473,1.428571,,9.225,0.308061,0.849206,0
2026-06-01 17:46:30,0.1951,4.4024,3.1951,-0.1951,25.625,1.135734,1.564885,,9.225,0.024623,0.283635,0
2026-06-01 17:46:31,0.1951,4.3049,3.6951,0.0,25.625,1.161473,1.353135,,0.0,0.403412,0.0,0
2026-06-01 17:46:32,0.1951,3.0976,3.5,0.0,25.625,1.614173,1.428571,,9.225,0.300071,0.354037,0
2026-06-01 17:46:33,0.3049,4.3049,3.4024,-0.0976,16.4,1.161473,1.469534,,9.225,0.025739,0.155431,0
2026-06-01 17:46:34,0.1951,0.4024,0.0,0.0,25.625,12.424242,,,0.0,10.25493,2.169312,0
2026-06-01 17:46:48,0.1951,0.4024,-0.0976,-0.0976,25.625,12.424242,,,9.225,0.0,0,0
2026-06-01 17:46:49,0.3049,0.5,0.0,0.0,16.4,10.0,,,9.225,2.424242,0,0
2026-06-01 17:46:51,0.1951,0.4024,-0.0976,-0.0976,25.625,12.424242,,,0.0,0.0,0,0
2026-06-01 17:46:52,0.1951,0.4024,-0.0976,-0.0976,25.625,12.424242,,,9.225,2.424242,0,0
2026-06-01 17:46:53,0.1951,0.4024,-0.0976,-0.0976,25.625,12.424242,,,9.225,4.056895,0,0
2026-06-01 17:46:54,0.1951,0.4024,-0.0976,-0.0976,25.625,12.424242,,,0.0,0.0,0,0
2026-06-01 17:47:17,0.3049,0.4024,-0.0976,0.0,16.4,12.424242,,,9.225,0.0,0,0
2026-06-01 17:47:18,0.1951,0.4024,-0.0976,-0.0976,25.625,12.424242,,,9.225,0.0,0,0
2026-06-01 17:47:20,0.3049,0.4024,-0.0976,-0.0976,16.4,12.424242,,,0.0,0.0,0,0
2026-06-01 17:47:21,0.1951,0.5,0.0,-0.0976,25.625,10.0,,,9.225,2.424242,0,0
2026-06-01 17:47:22,0.1951,0.4024,-0.0976,0.0,25.625,12.424242,,,0.0,0.0,0,0
2026-06-01 17:47:23,0.3049,0.5,0.0,0.0,16.4,10.0,,,0.0,2.424242,0,0
2026-06-01 17:47:24,0.3049,0.4024,0.0,-0.0976,16.4,12.424242,,,9.225,0.0,0,0
2026-06-01 17:47:40,10.9024,0.5,0.0,-0.0976,0.458613,10.0,,,0.022044,2.424242,0,0
2026-06-01 17:47:41,10.8049,0.4024,-0.0976,-0.0976,0.462754,12.424242,,,0.232161,0.0,0,0
2026-06-01 17:47:43,10.5976,0.4024,-0.0976,-0.0976,0.471807,12.424242,,,0.0,0.0,0,0
2026-06-01 17:47:44,10.5,0.4024,0.0,0.0,0.47619,12.424242,,,0.028736,0.0,0,0
2026-06-01 17:47:45,7.3049,0.4024,-0.0976,-0.0976,0.684474,12.424242,,,0.22172,0.0,0,0
2026-06-01 17:47:46,10.9024,0.4024,-0.0976,-0.0976,0.458613,12.424242,,,0.00889,0.0,0,0
2026-06-01 17:47:47,10.8049,0.4024,-0.0976,-0.0976,0.462754,12.424242,,,0.232161,0.0,0,0
2026-06-01 17:47:48,7.1951,0.4024,-0.0976,0.0,0.694915,12.424242,,,0.236302,0.0,0,0
2026-06-01 17:47:50,10.9024,0.4024,-0.0976,-0.0976,0.458613,12.424242,,,0.041387,0.0,0,0
2026-06-01 17:47:51,10.8049,0.4024,0.0,0.0,0.462754,12.424242,,,0.241713,0.0,0,0
2026-06-01 17:47:52,8.5,0.4024,-0.0976,-0.0976,0.588235,12.424242,,,0.13369,0.0,0,0
2026-06-01 17:47:53,10.9024,0.5,0.0,-0.0976,0.458613,10.0,,,0.00889,2.424242,0,0
2026-06-01 17:47:54,10.5,0.4024,-0.0976,-0.0976,0.47619,12.424242,,,0.118875,0.0,0,0
2026-06-01 17:47:55,10.4024,0.3049,-0.0976,-0.0976,0.480657,16.4,,,0.004466,6.4,0,0
2026-06-01 17:47:56,9.5976,0.4024,-0.0976,-0.0976,0.520966,12.424242,,,0.225847,0.0,0,0
2026-06-01 17:47:57,8.6951,0.4024,-0.0976,-0.0976,0.575035,12.424242,,,0.065085,0.0,0,0
2026-06-01 17:47:58,8.5,0.4024,-0.0976,-0.0976,0.588235,12.424242,,,0.204801,0.0,0,0
2026-06-01 17:47:59,8.6951,0.4024,-0.0976,-0.0976,0.575035,12.424242,,,0.244965,0.0,0,0
2026-06-01 17:48:00,7.5,0.3049,-0.0976,-0.0976,0.666667,16.4,,,0.078431,6.4,0,0
2026-06-01 17:48:01,7.5,0.4024,-0.0976,0.0,0.666667,12.424242,,,0.041667,0.0,0,0
2026-06-01 17:48:02,4.1951,0.4024,-0.0976,-0.0976,1.19186,12.424242,,,0.344753,0.0,0,0
2026-06-01 17:48:03,5.8049,0.4024,-0.0976,-0.0976,0.861345,12.424242,,,0.0166,3.975758,0,0
2026-06-01 17:48:04,4.6951,0.4024,-0.0976,0.0,1.064935,12.424242,,,0.2882,0.0,0,0
2026-06-01 17:48:05,3.3049,0.4024,-0.0976,-0.0976,1.512915,12.424242,,,0.512915,3.975758,0,0
2026-06-01 17:48:06,4.3049,0.5,0.0,-0.0976,1.161473,10.0,,,0.030387,2.424242,0,0
2026-06-01 17:48:07,3.3049,0.4024,-0.0976,-0.0976,1.512915,12.424242,,,0.411967,0.0,0,0
2026-06-01 17:48:08,1.6951,0.3049,-0.0976,-0.0976,2.94964,16.4,,,1.282974,3.975758,0,0
2026-06-01 17:48:09,1.5976,0.4024,-0.0976,-0.0976,3.129771,12.424242,,,0.629771,0.0,0,0
2026-06-01 17:48:10,1.0,0.4024,-0.0976,-0.0976,5.0,12.424242,,,0.540541,0.0,0,0
2026-06-01 17:48:11,0.6951,0.4024,-0.0976,-0.0976,7.192982,12.424242,,,2.192982,2.424242,0,0
2026-06-01 17:48:12,1.0,0.5,-0.0976,0.0,5.0,10.0,,,0.540541,2.424242,0,0
2026-06-01 17:48:13,0.9024,0.4024,-0.0976,-0.0976,5.540541,12.424242,,,2.826806,0.0,0,0
2026-06-01 17:48:14,0.6951,0.4024,-0.1951,-0.0976,7.192982,12.424242,,,2.192982,2.424242,0,0
2026-06-01 17:48:15,0.9024,0.5,0.0,-0.0976,5.540541,10.0,,,0.0,2.424242,0,0
2026-06-01 17:48:16,0.9024,0.4024,-0.0976,-0.0976,5.540541,12.424242,,,1.652442,0.0,0,0
2026-06-01 17:48:17,0.6951,0.3049,-0.0976,-0.0976,7.192982,16.4,,,1.652442,6.4,0,0
2026-06-01 17:48:18,0.9024,0.5,-0.0976,0.0,5.540541,10.0,,,0.671581,0.0,0,0
2026-06-01 17:48:19,0.8049,0.4024,-0.0976,-0.0976,6.212121,12.424242,,,0.980861,0.0,0,0
2026-06-01 17:48:20,0.6951,0.4024,-0.0976,-0.0976,7.192982,12.424242,,,2.192982,2.424242,0,0
2026-06-01 17:48:21,1.0,0.5,0.0,-0.0976,5.0,10.0,,,1.212121,2.424242,0,0
2026-06-01 17:48:22,0.9024,0.5,-0.0976,-0.0976,5.540541,10.0,,,2.826806,2.424242,0,0
2026-06-01 17:48:23,0.5976,0.4024,-0.0976,-0.0976,8.367347,12.424242,,,3.367347,0.0,0,0
2026-06-01 17:48:24,0.9024,0.4024,-0.0976,-0.0976,5.540541,12.424242,,,0.671581,0.0,0,0
2026-06-01 17:48:25,0.9024,0.4024,0.0,-0.0976,5.540541,12.424242,,,2.826806,0.0,0,0
2026-06-01 17:48:26,0.6951,0.5,-0.0976,-0.0976,7.192982,10.0,,,1.652442,1.632653,0,0
2026-06-01 17:48:27,0.9024,0.5,0.0,-0.0976,5.540541,10.0,,,2.826806,2.424242,0,0
2026-06-01 17:48:28,0.8049,0.4024,-0.0976,-0.0976,6.212121,12.424242,,,1.212121,0.0,0,0
2026-06-01 17:48:29,0.9024,0.4024,-0.0976,0.0,5.540541,12.424242,,,2.826806,3.975758,0,0
2026-06-01 17:48:30,0.5976,0.4024,-0.0976,-0.0976,8.367347,12.424242,,,2.826806,0.0,0,0
2026-06-01 17:48:31,0.9024,0.4024,-0.0976,-0.0976,5.540541,12.424242,,,0.0,0.0,0,0
2026-06-01 17:48:32,0.9024,0.4024,0.0,0.0,5.540541,12.424242,,,1.652442,0.0,0,0
2026-06-01 17:48:33,0.5976,0.4024,0.0,0.0,8.367347,12.424242,,,2.826806,0.0,0,0
2026-06-01 17:48:34,0.9024,0.4024,-0.0976,-0.0976,5.540541,12.424242,,,0.0,3.975758,51.25,0
2026-06-01 17:48:35,0.9024,0.4024,0.0976,0.0976,5.540541,12.424242,51.25,51.25,2.826806,0.0,51.25,51.25
